title,year,authors,publication_link,author_links,page_number
A Qard Hassan (Benevolent Loan) Crowdfunding Model for Refugee Finance,2025,"A Qard Hassan (Benevolent Loan) Crowdfunding Model for Refugee FinanceHasan, Hassan",https://pureportal.coventry.ac.uk/en/publications/a-qard-hassan-benevolent-loan-crowdfunding-model-for-refugee-fina,,0
Assessing the determinants of participation in the circular plastic economy by Nigerian students,2025,"Assessing the determinants of participation in the circular plastic economy by Nigerian studentsOkoya, S. A., Oyinlola",https://pureportal.coventry.ac.uk/en/publications/assessing-the-determinants-of-participation-in-the-circular-plast-2,,0
Conceptualising Accounting as a Value-Based Concept in the Context of Alternative Finance,2025,Conceptualising Accounting as a Value-Based Concept in the Context of Alternative FinanceAlamad,https://pureportal.coventry.ac.uk/en/publications/conceptualising-accounting-as-a-value-based-concept-in-the-contex,,0
Connectedness and investment strategies of volatile assets: DCC-GARCH R2 analysis ofcryptocurrencies and emerging market sectors,2025,,https://pureportal.coventry.ac.uk/en/publications/connectedness-and-investment-strategies-of-volatile-assets-dcc-ga,,0
Corporate Social Irresponsibility and the Cost of Equity Capital: Evidence from Listed Firms in China,2025,Corporate Social Irresponsibility and the Cost of Equity Capital: Evidence from Listed Firms in ChinaLiu,https://pureportal.coventry.ac.uk/en/publications/corporate-social-irresponsibility-and-the-cost-of-equity-capital-,,0
Does self-congruity matter for virtual influencer’s non-fungible token (NFT) purchase intentions? The role of financial literacy,2025,"Does self-congruity matter for virtual influencer’s non-fungible token (NFT) purchase intentions? The role of financial literacyBrahmana, R. K. & Kontesa",https://pureportal.coventry.ac.uk/en/publications/does-self-congruity-matter-for-virtual-influencers-non-fungible-t,,0
Does the corporate governance index matter for company zombification?,2025,"Does the corporate governance index matter for company zombification?Brahmana, R. K. & Setiawan",https://pureportal.coventry.ac.uk/en/publications/does-the-corporate-governance-index-matter-for-company-zombificat,,0
Do Tenure and Age of Board Chair Matter for R&D Investment?,2025,"Do Tenure and Age of Board Chair Matter for R&D Investment?Azzam, A. & Alhababsah",https://pureportal.coventry.ac.uk/en/publications/do-tenure-and-age-of-board-chair-matter-for-rampd-investment,,0
EU Stock Market Integration: Policy Impact and Drivers,2025,"EU Stock Market Integration: Policy Impact and DriversPark, J. S. & Newaz, M. K.",https://pureportal.coventry.ac.uk/en/publications/eu-stock-market-integration-policy-impact-and-drivers,,0
Fostering Entrepreneurship and Innovation in Nigerian Universities,2025,,https://pureportal.coventry.ac.uk/en/publications/fostering-entrepreneurship-and-innovation-in-nigerian-universitie,,0
"Managerial regulatory engagement, access to bank finance and the moderating role of institutional religiosity: a cross-country study",2025,"Managerial regulatory engagement, access to bank finance and the moderating role of institutional religiosity: a cross-country studyLiedong",https://pureportal.coventry.ac.uk/en/publications/managerial-regulatory-engagement-access-to-bank-finance-and-the-m,,0
Mechanic Village Business Networks and Circular Economy Practices in the Automotive Industry,2025,,https://pureportal.coventry.ac.uk/en/publications/mechanic-village-business-networks-and-circular-economy-practices,,0
Popular movie effects on advanced finance course performance: flipped classroom vs in-class view,2025,"Popular movie effects on advanced finance course performance: flipped classroom vs in-class viewBrahmana, R. K. & Yau, J. T. H.",https://pureportal.coventry.ac.uk/en/publications/popular-movie-effects-on-advanced-finance-course-performance-flip,,0
"Spillovers between hydrogen, nuclear, and AI sectors: The impact of climate policy uncertainty and geopolitical risks",2025,,https://pureportal.coventry.ac.uk/en/publications/spillovers-between-hydrogen-nuclear-and-ai-sectors-the-impact-of-,,0
"Stock Overpricing, Underwriting Fees, and Stock Price Crash Risk",2025,,https://pureportal.coventry.ac.uk/en/publications/stock-overpricing-underwriting-fees-and-stock-price-crash-risk,,0
Success in cross-border M&A deals: Can ESG performance be a countervailing force against political risk?,2025,,https://pureportal.coventry.ac.uk/en/publications/success-in-cross-border-mampa-deals-can-esg-performance-be-a-coun,,0
Sustainability Accounting and Reporting: An Ablative Reflexive Thematic Analysis of Climate Crisis via Conservative or Radical Reform Paradigms,2025,Sustainability Accounting and Reporting: An Ablative Reflexive Thematic Analysis of Climate Crisis via Conservative or Radical Reform ParadigmsHuston,https://pureportal.coventry.ac.uk/en/publications/sustainability-accounting-and-reporting-an-ablative-reflexive-the-2,,0
The impact of climate policy uncertainty on the dynamic connectedness among leading fish-exporting nations,2025,,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-climate-policy-uncertainty-on-the-dynamic-connected,,0
Water Disclosure and Firm Value: A Pathway to Corporate Sustainability,2025,"Water Disclosure and Firm Value: A Pathway to Corporate SustainabilitySantoso, Setiawan",https://pureportal.coventry.ac.uk/en/publications/water-disclosure-and-firm-value-a-pathway-to-corporate-sustainabi,,0
What do we know about carbon disclosure? A bibliometric analysis,2025,"What do we know about carbon disclosure? A bibliometric analysisSetiawan, Santoso",https://pureportal.coventry.ac.uk/en/publications/what-do-we-know-about-carbon-disclosure-a-bibliometric-analysis,,0
What makes companies zombie? Detecting the most important zombification feature using tree-based machine learning,2025,"What makes companies zombie? Detecting the most important zombification feature using tree-based machine learningBrahmana, R. K.",https://pureportal.coventry.ac.uk/en/publications/what-makes-companies-zombie-detecting-the-most-important-zombific,,0
Whether voluntary GHG disclosure could help improve subsequent GHG performance-new global evidence,2025,,https://pureportal.coventry.ac.uk/en/publications/whether-voluntary-ghg-disclosure-could-help-improve-subsequent-gh,,0
Accounting professionals’ legitimacy maintenance of modern slavery inspired extreme work practices in an emerging economy,2024,"Accounting professionals’ legitimacy maintenance of modern slavery inspired extreme work practices in an emerging economyWin, Chhatbar",https://pureportal.coventry.ac.uk/en/publications/accounting-professionals-legitimacy-maintenance-of-modern-slavery,,0
AI: What Do We Fear? What Do We Hope For? Perception of the Societal Impact of AI in a European Transnational Cross-Sectional Study,2024,"AI: What Do We Fear? What Do We Hope For? Perception of the Societal Impact of AI in a European Transnational Cross-Sectional Studydel Álamo Cienfuegos, Lis",https://pureportal.coventry.ac.uk/en/publications/ai-what-do-we-fear-what-do-we-hope-for-perception-of-the-societal,,0
A risk–return trade‐off or co‐movement? Are food processing firms risk‐averse?,2024,"A risk–return trade‐off or co‐movement? Are food processing firms risk‐averse?Mukherjee, Mukherjee",https://pureportal.coventry.ac.uk/en/publications/a-riskreturn-tradeoff-or-comovement-are-food-processing-firms-ris,,0
Assessing the implementation of Santiago Principles by Sovereign Wealth Funds in the ASEAN Community,2024,"Assessing the implementation of Santiago Principles by Sovereign Wealth Funds in the ASEAN CommunityRwakigumba, Guney",https://pureportal.coventry.ac.uk/en/publications/assessing-the-implementation-of-santiago-principles-by-sovereign-,,0
Beyond Profit: The Humanisation of Economics Through the Theory of Equitable Optimality,2024,Beyond Profit: The Humanisation of Economics Through the Theory of Equitable OptimalityAlamad,https://pureportal.coventry.ac.uk/en/publications/beyond-profit-the-humanisation-of-economics-through-the-theory-of,,0
Catalysing Environmental Action: a Governance Framework for Enhancing Individual Participation in Sub-Saharan Africa’s Plastic Circular Economy,2024,"Catalysing Environmental Action: a Governance Framework for Enhancing Individual Participation in Sub-Saharan Africa’s Plastic Circular EconomyAmbituuni, Ajala",https://pureportal.coventry.ac.uk/en/publications/catalysing-environmental-action-a-governance-framework-for-enhanc,,0
CEO succession origin and annual reports readability,2024,,https://pureportal.coventry.ac.uk/en/publications/ceo-succession-origin-and-annual-reports-readability,,0
Contextualised accountant stereotypes: understanding their social construction and reconstruction in Chinese society,2024,"Contextualised accountant stereotypes: understanding their social construction and reconstruction in Chinese societyWang, Y. & Chen",https://pureportal.coventry.ac.uk/en/publications/contextualised-accountant-stereotypes-understanding-their-social-,,0
Corporate Financial Hedging and the Cost of Equity Capital,2024,"Corporate Financial Hedging and the Cost of Equity CapitalAhmed, H. B. & Guney",https://pureportal.coventry.ac.uk/en/publications/corporate-financial-hedging-and-the-cost-of-equity-capital-2,,0
Corporate governance and cost of equity: the moderating role of ownership concentration levels,2024,"Corporate governance and cost of equity: the moderating role of ownership concentration levelsHashmi, M. A., Istaqlal",https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-cost-of-equity-the-moderating-role-of-ow,,0
"Diffusion theory, economic consequences, and adoption of international standards on auditing around the world",2024,,https://pureportal.coventry.ac.uk/en/publications/diffusion-theory-economic-consequences-and-adoption-of-internatio,,0
Digitally enabled business models for a circular plastic economy in Africa,2024,,https://pureportal.coventry.ac.uk/en/publications/digitally-enabled-business-models-for-a-circular-plastic-economy-,,0
Does board–CEO age similarity affect earnings management? An empirical analysis from M&A contexts,2024,"Does board–CEO age similarity affect earnings management? An empirical analysis from M&A contextsNguyen, Alhababsah",https://pureportal.coventry.ac.uk/en/publications/does-boardceo-age-similarity-affect-earnings-management-an-empiri,,0
Does Digital Orientation Enhance Firm Performance?,2024,"Does Digital Orientation Enhance Firm Performance?Brahmana, R. K. & Kontesa",https://pureportal.coventry.ac.uk/en/publications/does-digital-orientation-enhance-firm-performance,,0
